date,mc,v_loss_cover,v_rainfall_total,scenario,v_flow_mean_forecast
2021-07-01,14,0.01782,158.18,Def_25%_P_A1,63.98236210937138
2021-08-01,14,0.01784,193.84,Def_25%_P_A1,58.64511684895573
2021-09-01,14,0.01786,215.45,Def_25%_P_A1,62.94894528645496
2021-10-01,14,0.01788,211.06,Def_25%_P_A1,65.39899984374608
2021-11-01,14,0.01789,80.57,Def_25%_P_A1,77.75612999996953
2021-12-01,14,0.01791,59.51,Def_25%_P_A1,59.30981419270915
2020-01-01,15,0.20571,113.78,Def_25%_P_A1,40.33084148437364
2020-02-01,15,0.20593,21.81,Def_25%_P_A1,51.40890143228958
2020-03-01,15,0.20614,138.49,Def_25%_P_A1,33.66944171874356
2020-04-01,15,0.20636,278.03,Def_25%_P_A1,70.04798023436626
2020-05-01,15,0.20658,334.23,Def_25%_P_A1,111.86655093749316
2020-06-01,15,0.2068,149.81,Def_25%_P_A1,75.03068492187684
2020-07-01,15,0.20701,137.63,Def_25%_P_A1,51.96372523436847
2020-08-01,15,0.20723,136.06,Def_25%_P_A1,45.63837171873496
2020-09-01,15,0.20745,253.53,Def_25%_P_A1,55.352554843731916
2020-10-01,15,0.20767,427.34,Def_25%_P_A1,148.80945192704715
2020-11-01,15,0.20788,314.97,Def_25%_P_A1,99.8497044010478
2020-12-01,15,0.2081,29.92,Def_25%_P_A1,34.70578755208084
2021-01-01,15,0.20832,49.39,Def_25%_P_A1,27.494031093746827
2021-02-01,15,0.20854,110.6,Def_25%_P_A1,29.934253593736493
2021-03-01,15,0.20875,163.99,Def_25%_P_A1,125.21810648437709
2021-04-01,15,0.20897,162.16,Def_25%_P_A1,73.52951906250865
2021-05-01,15,0.20919,327.87,Def_25%_P_A1,104.94977669265926
2021-06-01,15,0.20941,227.41,Def_25%_P_A1,88.83175570312848
2021-07-01,15,0.20962,123.73,Def_25%_P_A1,49.81982382812281
2021-08-01,15,0.20984,132.35,Def_25%_P_A1,42.601190156240015
2021-09-01,15,0.21006,273.78,Def_25%_P_A1,50.967078593739295
2021-10-01,15,0.21028,330.37,Def_25%_P_A1,109.83312593749588
2021-11-01,15,0.21049,302.21,Def_25%_P_A1,94.63988999999373
2021-12-01,15,0.21071,160.67,Def_25%_P_A1,56.52141234375333
2020-01-01,16,0.10128,100.29,Def_25%_P_A1,277.0028573958344
2020-02-01,16,0.10139,17.6,Def_25%_P_A1,329.2562895833359
2020-03-01,16,0.1015,125.94,Def_25%_P_A1,338.1070538281052
2020-04-01,16,0.1016,243.17,Def_25%_P_A1,384.851079765623
2020-05-01,16,0.10171,291.36,Def_25%_P_A1,519.5537084896686
2020-06-01,16,0.10182,126.94,Def_25%_P_A1,407.8335154947995
2020-07-01,16,0.10193,118.5,Def_25%_P_A1,317.6907991406063
2020-08-01,16,0.10203,136.17,Def_25%_P_A1,393.811598359355
2020-09-01,16,0.10214,229.38,Def_25%_P_A1,446.8910685156342
2020-10-01,16,0.10225,378.04,Def_25%_P_A1,522.650776770884
2020-11-01,16,0.10236,264.19,Def_25%_P_A1,439.5432417708457
